0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,pose
0.759097,0.760334,0.793868,0.760334,0.792816,0.617974,0.630512,0.516369,0.384855,0.472572,0.434791,0.086844,0.072429,0.639051,0.474239,0.746255,0.880699,2
0.752506,0.753858,0.786832,0.718604,0.78568,0.576051,0.626662,0.313409,0.379147,0.196153,0.502921,0.075443,0.090448,0.561368,0.470498,0.775118,0.836198,2
0.723978,0.759156,0.754872,0.761211,0.753598,0.586273,0.624048,0.490045,0.377012,0.513717,0.507364,0.108857,0.062622,0.489823,0.392414,0.736473,0.835412,2
0.717541,0.755497,0.753155,0.759385,0.752568,0.560162,0.580482,0.364983,0.43295,0.24899,0.414891,0.085875,0.085875,0.406675,0.479891,0.757605,0.807416,2
0.686601,0.721864,0.721097,0.691415,0.721864,0.501075,0.55662,0.308512,0.411557,0.193046,0.402389,0.083466,0.100034,0.276153,0.449552,0.748118,0.859963,2
0.706966,0.742472,0.742472,0.709791,0.743908,0.515111,0.573159,0.287386,0.419449,0.394876,0.410772,0.081749,0.114396,0.214174,0.420709,0.760647,0.805157,2
0.715244,0.751252,0.751252,0.718193,0.751815,0.521314,0.579791,0.292896,0.425642,0.392573,0.416607,0.067363,0.117638,0.282997,0.429004,0.773447,0.748808,2
0.71259,0.748528,0.78428,0.715606,0.749068,0.515045,0.58102,0.33785,0.422848,0.199688,0.414162,0.082089,0.114896,0.24566,0.417141,0.764888,0.774856,2
0.707467,0.743173,0.743173,0.745854,0.744604,0.515649,0.576776,0.335393,0.419766,0.388143,0.411118,0.087786,0.097929,0.342421,0.414931,0.760426,0.843236,2
0.711754,0.747298,0.747298,0.749944,0.74871,0.524097,0.575132,0.337602,0.452912,0.198351,0.414024,0.088917,0.103981,0.339097,0.38395,0.757311,0.840123,2
0.71241,0.748783,0.748246,0.716905,0.749676,0.523382,0.580256,0.391847,0.421451,0.223002,0.382513,0.08194,0.098279,0.419897,0.419897,0.806823,0.782459,2
0.718023,0.754265,0.790324,0.722656,0.754796,0.527571,0.582075,0.33826,0.424317,0.214946,0.407626,0.098102,0.081772,0.381515,0.392554,0.774778,0.785559,2
0.745157,0.781111,0.780437,0.714151,0.745687,0.517819,0.575993,0.33679,0.421458,0.383845,0.382885,0.081147,0.081147,0.338333,0.410665,0.761649,0.765272,2
0.750661,0.751209,0.750479,0.719735,0.751209,0.523477,0.581406,0.343306,0.427984,0.383328,0.410972,0.099501,0.082954,0.408471,0.408471,0.756477,0.836653,2
